,id,titulo,status
58,15582,ATDPA1911CLUBEDETIRO.COM.BR - ERRO AO ADICIONAR LOGO NO SISTEMA,CONCLUIDO
60,15577,CLIENTE NOVO - CAHAN.COM.BR,CONCLUIDO
198,15022,SOLEDADE.CTKCLUBEDETIRO.COM.BR - CRIAR PAGINA DE LINKS,AGUARDANDO SPRINT
199,14999,CORRIGIR README DOS PROJETOS DA SHOOTINGHOUSE,AGUARDANDO SPRINT
202,14932,KEEPERSCLUBEDETIRO.COM.BR - REINSTALAR PIXEL,AGUARDANDO SPRINT
201,14949,CLUBEDETIROHAWKS.COM.BR - NOFICIAÇÕES SO APARECE SE USUARIO FOR MASTER,AGUARDANDO SPRINT
200,14994,CTRV.COM.BR - ADICIONAR NOME E ENDEREÇO AO COMPROVANTE DE INSCRIÇÃO,AGUARDANDO SPRINT
188,15208,LANDING PAGES - PASSOFUNDO.CTKCLUBEDETIRO.COM.BR/LINKS,AGUARDANDO SPRINT
189,15206,LOJA.RECIFEPISTOL.COM.BR - SITE WP NÃO FUNCIONOU,AGUARDANDO SPRINT
197,15032,"CBTE.ORG.BR - DISPONIBILIZAR O CAMPO ""FEDERAÇAO"" PARA AS CARTEIRINHAS",AGUARDANDO SPRINT
191,15192,IJUI.CTKCLUBEDETIRO.COM.BR / CTK CLUBE DE TIRO LAJEADO - LANDING PAGES,AGUARDANDO SPRINT
12,15665,SPED FISCAL - MENU XML AVULSO,AGUARDANDO SPRINT
11,15666,SPED FISCAL - XML? CONTAS ENERGIA/TELEFONE/INTERNET/CT-E (VERIFICAR),AGUARDANDO SPRINT
194,15155,SHCHAT - VOLTAR IGUAL ANTES TINHA DE PERGUNTAR O DOMINIO QUE USUARIO ESTA V ...,AGUARDANDO SPRINT
187,15226,LIGA NACIONAL - DIVERGENCIA DE VALIDAÇÕES NA ATTA,AGUARDANDO SPRINT
196,15043,"CTK SANTA CRUZ - PAGAMENTO LOJA ANUIDADE, NO FINANCEIRO NO FILIADO PUXAR O ...",AGUARDANDO SPRINT
14,15663,SPED FISCAL - DISPOSIÇÃO DAS PÁGINAS NO MENU,AGUARDANDO SPRINT
13,15664,SPED FISCAL - LICENÇAS WEBMASTER,AGUARDANDO SPRINT
204,14913,CBTE - LANCAMENTO AGRUPADO RESULTADO - CLUBE - REINSCRICAO NA MESMA ÁREA,AGUARDANDO SPRINT
183,15263,INDAIATUBA - ERRO DESTAQUES TEMPLATES,AGUARDANDO SPRINT
181,15295,CLUBE CAXIENSE - ERRO NO TITULO COM CPF'S QUE NÃO EXISTEM NO SISTEMA,AGUARDANDO SPRINT
16,15661,CBCT.ORG.BR - ERRO AO SELECIONAR CLUBES QUE SEDIARÃO,AGUARDANDO SPRINT
177,15320,COMPETICOES - DESEMPATE DEFAULT TRAP AMERICANO,AGUARDANDO SPRINT
174,15337,FMGTE - NOVA CAMPANHA DE EMAIL (DECLARACAO FILIACAO CLUBE),AGUARDANDO SPRINT
19,15654,"CBTP - PROVAS SEPARADAS ""RIFLE"" DE ""MINI RIFLE E SHOTGUN""",AGUARDANDO SPRINT
170,15351,CORTESIMPORTS - AC THIAGO - ALTERAÇÃO SITE,AGUARDANDO SPRINT
168,15367,CLUBEDETIROAZEVEDO.COM.BR - ATALHO ANUIDADES A VENCER,AGUARDANDO SPRINT
165,15380,FARIAGUNS.COM.BR - CLIENTE SOLICITOU A POSSIBILIDADE DE CRIAR FILTROS NO ...,AGUARDANDO SPRINT
21,15650,CLUBEDETIROITAJAI.COM.BR - ERRO AO SALVAR CAMPANHA DE E-MAIL DE ANIVERSÁRIO,AGUARDANDO SPRINT
22,15649,CTKCLUBEDETIRO.COM.BR - NCM NO RALATORIOS PRODUTOS,AGUARDANDO SPRINT
64,15570,CBTE - AC THIAGO - CRIAR NOVO BOTÃO NA HOMEPAGE,AGUARDANDO SPRINT
203,14926,CBTE - CRIAR BOTÃO IMPRESSAO NO RANKING QUALIDADE,AGUARDANDO SPRINT
63,15571,"AQUILA - FILTRO CADASTRAL ""MENSALIDADE DE E ATÉ"" NÃO FUNCIONA",AGUARDANDO SPRINT
205,14912,CBTE - OPÇÃO PARA LANCAR RESULTADOS DE REINSCRICAO NA MESMA TELA,AGUARDANDO SPRINT
235,13626,UBERABA.FALCONCNT.COM.BR - CAMPO PARA PESQUISA DE ESTOQUE NO MOMENTO DA VEN ...,AGUARDANDO SPRINT
228,14413,BOTAO DE PANICO - ENVIAR LOGO SE O ATIRADOR TIVER,AGUARDANDO SPRINT
229,14161,TX TIRO - HISTORICO MOVIMENTACOES PRODUTO - FILTRO NF,AGUARDANDO SPRINT
230,14157,PONTO 40 - USUARIO ADM - CONFIG. DE DEPOSITOS PARA NIVEL DE ACESSO,AGUARDANDO SPRINT
232,14075,SHCHAT - NOVO DASHBOARD,AGUARDANDO SPRINT
233,14067,FCTP - NOME DAS EQUIPES NÃO APARECEM NO RANKING DO SITE,AGUARDANDO SPRINT
234,14051,SHOOTING HOUSE - INICIALIZAÇÃO DO SISTEMA,AGUARDANDO SPRINT
238,11955,CRM - NOVOS RELATORIOS,AGUARDANDO SPRINT
206,14911,"CBTE - ATALHO ""REINSCRIÇÃO"" NA TELA DE LANÇAMENTO DE RESULTADOS",AGUARDANDO SPRINT
239,11945,CURSOS.SKSIS.COM.BR - MELHORIA NO EXTRATO DOS CARTÕES,AGUARDANDO SPRINT
240,11590,357 - NOVA FUNÇÃO - ORDENS DE COMPRA,AGUARDANDO SPRINT
242,9917 ,TTIROCERTO.COM.BR - AVISO DE CONTAS A PAGAR RECORRENTES,AGUARDANDO SPRINT
243,9498 ,ISTEMA CLIENTE NOVO - REFORMULAÇÃO NO ATENDIMENTO INTEGRADO AO SISTEMA,AGUARDANDO SPRINT
244,8878 ,TTF - SHOOTING SCORE - PROGRAMAR MODALIDADE 3GUN,AGUARDANDO SPRINT
245,8472 ,HOOTINGSCORE - TIFF DE AREA,AGUARDANDO SPRINT
227,14477,CONFEDERACIONSUDAMERICANADETIRO.COM - TRADUÇÃO PARA ESPANHOL,AGUARDANDO SPRINT
226,14496,FALCON ARMAS - TABELA DE PRECOS - NOVOS FILTROS E AÇÃO EM MASSA,AGUARDANDO SPRINT
225,14553,FCTP - THIAGO - BACKUP GALERIA DE FOTOS ANTIGA,AGUARDANDO SPRINT
223,14640,SITE SHOOTING HOUSE - BANNER/SLIDER NÃO ESTÁ APARECENDO,AGUARDANDO SPRINT
222,14644,AMERICANSHOOTINGCLUB.COM.BR - ATALHO BUSCAR ATLETA COM PROBLEMA,AGUARDANDO SPRINT
5,15685,CLUBETIRORAPIDO.COM.BR - EMITIR NOTA FICA SOMENTE TELA DE LOADING,AGUARDANDO SPRINT
6,15684,CBTE.ORG.BR - DECLARAÇÃO MODALIDADE E PROVA VIA ACESSO ATIRADOR,AGUARDANDO SPRINT
218,14721,ESTANCIASERRADASARARAS.COM.BR - LIBERAR EDIÇÃO DE PÁGINA/ CRIAR BOTÃO DE AC ...,AGUARDANDO SPRINT
217,14725,CHEGAR E COMMITAR SH-FRONT,AGUARDANDO SPRINT
216,14774,GARRUCHA - PLANO CONTA MOSTRAR O VALOR LIQUIDO E BRUTO,AGUARDANDO SPRINT
213,14817,"CLUBEDETIROAL.COM.BR - ALTERAR POSIÇÃO DO BOTÃO ""ACESSIBILIDADE""",AGUARDANDO SPRINT
212,14826,FATP - ETAPAS OBRIGATORIAS AJUSTE,AGUARDANDO SPRINT
211,14827,FATP - DESCARTE DE ETAPA PESO 2 - AJUSTE,AGUARDANDO SPRINT
210,14844,CCTVA.COM.BR - SITE APARECE BUGADO E NÃO É POSSÍVEL LOGAR NO PAINEL,AGUARDANDO SPRINT
25,15643,LAJEADO.CTKCLUBEDETIRO.COM.BR- CADASTRO DE ATIRADOR REPETINDO VÁRIAS VEZES,AGUARDANDO SPRINT
208,14906,CBTE - SITE - RANKING - ADICIONAR ICONES/COLUNAS QUALIDADE E DESEMPENHO,AGUARDANDO SPRINT
207,14907,CBTE - SITE - RECRIAR ÁREA DISCIPLINAS IGUAL SITE ANTIGO,AGUARDANDO SPRINT
9,15678,CLUBE.PONTO40CLUBE.COM.BR - ACESSO A SECRETARIA SEM TER PERMISSÃO,AGUARDANDO SPRINT
0,15692,CLUBE.PONTO40CLUBE.COM.BR - NIVEIS DE USUARIOS COM PROBLEMA,AGUARDANDO SPRINT
143,15417,LOJA2.TIRORAPIDO.COM.BR - AJUSTAR ERRO EXPORTAÇÃO RELÁTORIO MAPA DE ESTOQUE,AGUARDANDO SPRINT
86,15522,FUNÇÃO CANCELAR PEDIDO,AGUARDANDO SPRINT
48,15598,CORTES IMPORTS - NOVA PAGINA CURSOS,AGUARDANDO SPRINT
39,15614,"ORDEM DE COMPRA - PÁGINA INICIAL, ADICIONAR E EDITAR",AGUARDANDO SPRINT
97,15496,CLUBEDETIRORIBEIRAOPRETO.COM.BR - AC THIAGO - BOTAO SITE NAO FUNCIONA,AGUARDANDO SPRINT
29,15636,CLUBEDETIROAZEVEDO.COM.BR - RECIBO NÃO ESTÁ IMPRIMINDO COM A DATA DE PAGAME ...,AGUARDANDO SPRINT
98,15494,API TAREFAS - NOVAS NOMENCLATURAS DE CATEGORIAS E PROJETOS,AGUARDANDO SPRINT
132,15438,TELA DE TAREFAS NO SHCHAT,AGUARDANDO SPRINT
46,15605,AGUALIMPA.ORG.BR - BOLETOS GERADOS(N É PAGHIPER) NÃO ESTÃO SAINDO QRCODE,AGUARDANDO SPRINT
30,15635,API SHOOTING SCORE - VER O PQ NÃO ESTA BAIXANDO OS DOCS,AGUARDANDO SPRINT
32,15630,CTGPRR.COM.BR - ERRO AO CADASTRAR EM CURSO SEM VAGA,AGUARDANDO SPRINT
43,15610,AJUSTES NOVA TELA DE PAGAMENTO (TEF),AGUARDANDO SPRINT
121,15455,TUTORIAL PARA GERAR BOLETOS SICOOB,AGUARDANDO SPRINT
105,15484,API TAREFAS - FETCH PAIRS PARA CLUBE E TABELA DE RELACIONAMENTO TASK_HAS_CL ...,AGUARDANDO SPRINT
118,15458,REUNIÃO SEMANAL,AGUARDANDO SPRINT
108,15476,CACCIF.COM.BR ENVIAR LINK DOS BOLETOS VIA WHATSAPP EM MASSA,AGUARDANDO SPRINT
110,15472,API TAREFA - CORREÇÕES E NOVAS FUNÇÕES,AGUARDANDO SPRINT
38,15616,INDAIATUBASHOOTINGCLUB.COM.BR - CLUBE E LOJA COM NÍVEIS DE ACESSOS QUE NÃO ...,AGUARDANDO SPRINT
113,15469,TIRO RAPIDO - SUGESTÃO DE TROCA DE NOMENCLATURA EM ORDEM DE SERVIÇO,AGUARDANDO SPRINT
28,15637,CLUBEDETIROAGUIA.COM.BR - HÁ UM ERRO CRÍTICO NO SEU SITE,AGUARDANDO SPRINT
112,15470,SISTEMA SH - RETIRAR CAMPO OBSOLETO ''INTEGRAÇÃO CALENDÁRIO'' DA ETAPA,AGUARDANDO SPRINT
26,15641,CAXIASDOSUL.CTKCLUBEDETIRO.COM.BR - RELATÓRIO DE NOTA COM VALOR DIVERGENTE,AGUARDANDO SPRINT
61,15576,CLUBEORION.COM.BR - VARIÁVEIS DO TEMPLATE WORD SEM FUNCIONAR,AGUARDANDO SPRINT
67,15562,MELHORIAS NA LISTAGEM DE TAREFAS NO SHCHAT,AGUARDANDO SPRINT
83,15531,CTEP.COM.BR - ACESSO CLUBE DE FEDERAÇÃO,AGUARDANDO SPRINT
59,15578,CBTE - LANCAMENTO DE SEMI FINAL E FINAL,AGUARDANDO SPRINT
70,15558,ORDEM DE COMPRAS - CRUDS,AGUARDANDO SPRINT
75,15547,ORDEM DE COMPRA - MIGRATIONS E SEEDS,AGUARDANDO SPRINT
82,15532,CCTSP - AJUSTAR URLS INTERNAS DO SITE,AGUARDANDO SPRINT
79,15539,API TAREFAS - FETCH PAIRS PARA CATEGORIAS,AGUARDANDO SPRINT
236,13095,TEF - INTEGRAÇÃO BANCO K8,AGUARDANDO DEPLOY
51,15594,TIROBRASIL.COM.BR - ADICIONAR DECLARAÇÂO DE COMPETIÇÃO CLUBE/ETAPA,AGUARDANDO CONCLUSÃO
74,15548,"COLT 45 - LARANJEIRAS - AO FILTRAR ATIRADORES EM ATRASO, ELES FICAM NA COR ...",AGUARDANDO CONCLUSÃO
44,15608,GREGOCTT.COM.BR - QR CODE NÃO APARECE NA HORA DA IMPRESSÃO,AGUARDANDO CONCLUSÃO
41,15612,CBTE - GERAR ACERTO DE ANUIDADES ATRASADAS FEDERAÇÕES,AGUARDANDO CONCLUSÃO
42,15611,CBTE - GERAR ANUIDADES EM MASSA PARA TODAS FEDERAÇÕES,AGUARDANDO CONCLUSÃO
2,15689,CANCELAMENTO SISTEMA WEB MASTER,AGUARDANDO CONCLUSÃO
45,15606,FREEDOMFIREARMS.COM.BR - MAPA DE ESTOQUE DE MUNIÇÕES/INSUMOS,AGUARDANDO CONCLUSÃO
40,15613,RUVACLUBEDECAMPO.COM.BR - CONVERTER ESSES FILIADOS EM CONVIDADOS (PLANILHA ...,AGUARDANDO CONCLUSÃO
109,15475,CANCELAR CADASTRO NO WEB MASTER,AGUARDANDO CONCLUSÃO
77,15544,CLUBEDETIROATIBAIA.COM.BR - ERROR 550 NO EMAIL,AGUARDANDO CONCLUSÃO
